epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2888,1.31442,3.71938,1.59566,0.14157,0.49373,0.17544,0.09902,1.46741,2.31548,1.67961,0.00017454,0.00017454,0.00017454
2,81.6009,1.08203,2.82642,1.4046,0.23411,0.50097,0.25704,0.16368,1.19064,1.99078,1.45782,0.000342946,0.000342946,0.000342946
3,120.461,1.0437,2.50346,1.36934,0.2497,0.45844,0.2966,0.18923,1.20864,1.90519,1.45197,0.000504408,0.000504408,0.000504408
4,159.21,1.00552,2.22251,1.32722,0.27727,0.60342,0.36248,0.22282,1.29925,1.7836,1.54744,0.000494756,0.000494756,0.000494756
5,198.452,0.95966,2.01535,1.28311,0.35639,0.55426,0.42653,0.26485,1.27234,1.57611,1.53529,0.000484341,0.000484341,0.000484341
6,237.256,0.92644,1.86988,1.27116,0.32718,0.59173,0.45983,0.32745,1.00401,1.58306,1.26682,0.000473926,0.000473926,0.000473926
7,276.018,0.90218,1.73006,1.25473,0.48072,0.66692,0.58017,0.40194,1.0819,1.31208,1.31881,0.000463511,0.000463511,0.000463511
8,314.814,0.89666,1.6362,1.25518,0.56479,0.6668,0.66803,0.46587,1.03217,1.20289,1.26762,0.000453096,0.000453096,0.000453096
9,353.3,0.87449,1.54242,1.22353,0.63786,0.68933,0.72583,0.55716,0.88508,1.10855,1.13978,0.000442682,0.000442682,0.000442682
10,392.832,0.8542,1.4601,1.20916,0.71836,0.69713,0.79805,0.60798,0.89537,1.02082,1.17508,0.000432267,0.000432267,0.000432267
11,432.972,0.85666,1.38931,1.20575,0.79254,0.70897,0.81283,0.57311,1.06154,0.92415,1.27374,0.000421852,0.000421852,0.000421852
12,474.579,0.82927,1.33776,1.19232,0.78614,0.71355,0.79352,0.59731,0.91392,0.91744,1.19809,0.000411437,0.000411437,0.000411437
13,516.301,0.81404,1.2748,1.19193,0.79316,0.74673,0.82789,0.61583,0.9312,0.82411,1.19285,0.000401022,0.000401022,0.000401022
14,553.305,0.79927,1.23259,1.17031,0.862,0.7754,0.87049,0.66293,0.8704,0.78912,1.13899,0.000390608,0.000390608,0.000390608
15,591.307,0.80437,1.20004,1.17761,0.83691,0.77778,0.87403,0.66285,0.88697,0.7432,1.17629,0.000380193,0.000380193,0.000380193
16,635.627,0.78567,1.17176,1.17038,0.86321,0.77144,0.87308,0.67308,0.87191,0.73447,1.16002,0.000369778,0.000369778,0.000369778
17,679.306,0.77339,1.13471,1.15855,0.83278,0.78533,0.87076,0.68314,0.81076,0.74789,1.10585,0.000359363,0.000359363,0.000359363
18,719.148,0.75342,1.0959,1.14836,0.89154,0.78527,0.88638,0.65449,0.96025,0.68812,1.18219,0.000348948,0.000348948,0.000348948
19,756.365,0.74983,1.06306,1.14001,0.90115,0.79606,0.90238,0.72204,0.76065,0.64705,1.05848,0.000338534,0.000338534,0.000338534
20,793.606,0.74553,1.05517,1.14615,0.85826,0.78882,0.88763,0.71611,0.77281,0.66626,1.06462,0.000328119,0.000328119,0.000328119
21,830.754,0.75212,1.03148,1.13808,0.91065,0.82318,0.91167,0.70285,0.84357,0.6196,1.11518,0.000317704,0.000317704,0.000317704
22,867.888,0.74197,1.02894,1.13624,0.8821,0.8336,0.91299,0.70812,0.82353,0.6336,1.1021,0.000307289,0.000307289,0.000307289
23,904.787,0.73206,0.99063,1.12537,0.91289,0.82183,0.9136,0.71397,0.81999,0.5911,1.11148,0.000296874,0.000296874,0.000296874
24,942.141,0.71613,0.98727,1.12262,0.92118,0.84127,0.92285,0.73328,0.77304,0.59429,1.05625,0.00028646,0.00028646,0.00028646
25,979.37,0.72175,0.96756,1.12101,0.91985,0.82712,0.9204,0.73521,0.76754,0.58366,1.05175,0.000276045,0.000276045,0.000276045
26,1016.39,0.72272,0.9612,1.11981,0.90245,0.8608,0.92627,0.73816,0.78287,0.5669,1.07587,0.00026563,0.00026563,0.00026563
27,1053.65,0.70305,0.93457,1.11377,0.93036,0.84725,0.93096,0.73677,0.78294,0.55493,1.05902,0.000255215,0.000255215,0.000255215
28,1090.58,0.70867,0.93851,1.11471,0.91952,0.84933,0.93386,0.73274,0.79932,0.56033,1.08308,0.0002448,0.0002448,0.0002448
29,1133.99,0.70062,0.92077,1.10329,0.90606,0.87549,0.93207,0.75094,0.74257,0.54329,1.04995,0.000234386,0.000234386,0.000234386
30,1172.81,0.69742,0.91155,1.10419,0.89857,0.86095,0.93114,0.7379,0.75811,0.55485,1.0454,0.000223971,0.000223971,0.000223971
31,1215.27,0.67008,0.88448,1.09123,0.92709,0.83051,0.93111,0.73305,0.80025,0.54279,1.08775,0.000213556,0.000213556,0.000213556
32,1255.64,0.67737,0.86831,1.09522,0.89184,0.88141,0.93553,0.75352,0.7393,0.51573,1.0518,0.000203141,0.000203141,0.000203141
33,1297.04,0.67527,0.85717,1.09446,0.91715,0.85369,0.9331,0.75006,0.7526,0.52394,1.04427,0.000192726,0.000192726,0.000192726
34,1333.33,0.6618,0.86356,1.08444,0.90444,0.8905,0.9441,0.73714,0.80826,0.50802,1.1086,0.000182312,0.000182312,0.000182312
35,1368.82,0.6719,0.86179,1.09376,0.94445,0.84658,0.9418,0.75,0.77127,0.5018,1.0687,0.000171897,0.000171897,0.000171897
36,1405.18,0.67111,0.85382,1.0846,0.94516,0.85394,0.94349,0.7717,0.71244,0.49149,1.0158,0.000161482,0.000161482,0.000161482
37,1440.81,0.65958,0.81302,1.08012,0.94793,0.86549,0.94205,0.76931,0.69693,0.47881,1.01185,0.000151067,0.000151067,0.000151067
38,1477.52,0.65706,0.83134,1.09091,0.94135,0.86757,0.94457,0.76297,0.72178,0.47812,1.0232,0.000140652,0.000140652,0.000140652
39,1513.46,0.65072,0.81696,1.07852,0.91094,0.88246,0.9442,0.77065,0.70736,0.47393,1.02202,0.000130238,0.000130238,0.000130238
40,1549.1,0.65057,0.79588,1.07162,0.92984,0.87239,0.94793,0.7661,0.72094,0.46261,1.02866,0.000119823,0.000119823,0.000119823
41,1640.18,0.55136,0.4928,0.99527,0.93551,0.88135,0.9473,0.76872,0.71094,0.47849,1.01627,0.000109408,0.000109408,0.000109408
42,1674.74,0.53851,0.4732,0.97949,0.9348,0.88261,0.94254,0.7636,0.71472,0.48477,1.01731,9.89932e-05,9.89932e-05,9.89932e-05
43,1709.45,0.52218,0.45154,0.97347,0.95586,0.85955,0.9462,0.77944,0.68211,0.46849,1.0032,8.85784e-05,8.85784e-05,8.85784e-05
44,1744.57,0.52673,0.43466,0.97207,0.94593,0.86344,0.94502,0.76989,0.71079,0.46606,1.01773,7.81636e-05,7.81636e-05,7.81636e-05
45,1779.57,0.51877,0.43668,0.96738,0.92925,0.89004,0.95122,0.77878,0.69722,0.45046,1.00831,6.77488e-05,6.77488e-05,6.77488e-05
46,1814.86,0.50705,0.43127,0.9598,0.91539,0.9118,0.95474,0.78182,0.68228,0.44433,1.00143,5.7334e-05,5.7334e-05,5.7334e-05
47,1849.93,0.50385,0.41697,0.96097,0.92667,0.90733,0.9527,0.78353,0.68541,0.43868,0.99815,4.69192e-05,4.69192e-05,4.69192e-05
48,1885.07,0.50306,0.41397,0.96103,0.94161,0.88447,0.95535,0.78491,0.68732,0.43865,1.00121,3.65044e-05,3.65044e-05,3.65044e-05
49,1920.28,0.49903,0.41296,0.95738,0.95418,0.88007,0.95502,0.79161,0.66813,0.42869,0.98954,2.60896e-05,2.60896e-05,2.60896e-05
50,1955.61,0.49054,0.40271,0.94984,0.95024,0.88175,0.95395,0.79136,0.66709,0.42732,0.98869,1.56748e-05,1.56748e-05,1.56748e-05
