epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.997,1.47533,3.24676,1.91245,0.22598,0.41289,0.247,0.11097,1.77379,2.24916,2.50612,0.000175135,0.000175135,0.000175135
2,497.234,1.33881,2.38662,1.75826,0.2247,0.43779,0.29935,0.14424,1.67598,2.13017,2.16096,0.000350382,0.000350382,0.000350382
3,743.806,1.26193,2.22276,1.70014,0.26049,0.44665,0.28792,0.16545,1.40902,2.15005,2.07897,0.000525288,0.000525288,0.000525288
4,990.718,1.2172,2.1462,1.66017,0.27459,0.48233,0.32775,0.16134,1.59179,1.92978,2.30561,0.000524844,0.000524844,0.000524844
5,1237.01,1.16472,2.06048,1.61481,0.29801,0.46789,0.3653,0.20187,1.42181,1.94702,2.02998,0.000523947,0.000523947,0.000523947
6,1487.95,1.11497,1.96566,1.58319,0.33911,0.57375,0.45075,0.26874,1.3696,1.5651,2.07108,0.000522794,0.000522794,0.000522794
7,1744.42,1.05838,1.85093,1.51664,0.4094,0.55311,0.45394,0.26294,1.4283,1.59521,2.18384,0.000521388,0.000521388,0.000521388
8,1999.56,1.04745,1.83602,1.51109,0.40888,0.53039,0.45732,0.30966,1.05912,1.51448,1.66811,0.000519729,0.000519729,0.000519729
9,2254.15,0.99504,1.73353,1.4697,0.48528,0.65805,0.57519,0.37199,1.19558,1.33195,1.72194,0.00051782,0.00051782,0.00051782
10,2509.82,0.98044,1.70707,1.44793,0.44045,0.59281,0.5689,0.37847,1.14503,1.36321,1.6855,0.000515662,0.000515662,0.000515662
11,2766.3,0.97997,1.67303,1.45063,0.54707,0.61707,0.63693,0.4164,1.20651,1.23579,1.82758,0.000513257,0.000513257,0.000513257
12,3021.99,0.95971,1.61636,1.43001,0.63297,0.66226,0.70548,0.47792,1.14111,1.18868,1.62134,0.000510607,0.000510607,0.000510607
13,3277.09,0.96042,1.56229,1.44626,0.70086,0.7077,0.76232,0.54033,1.06288,1.02187,1.60697,0.000507716,0.000507716,0.000507716
14,3541.65,0.92938,1.50365,1.4068,0.7785,0.6614,0.7767,0.53655,1.08303,1.04027,1.54794,0.000504586,0.000504586,0.000504586
15,3803.33,0.94088,1.49545,1.41791,0.81304,0.71823,0.82588,0.58252,1.08062,0.97074,1.67529,0.00050122,0.00050122,0.00050122
16,4059.26,0.90254,1.41144,1.38285,0.77806,0.75034,0.83184,0.61005,0.99094,0.88003,1.59107,0.000497621,0.000497621,0.000497621
17,4314.51,0.8969,1.37815,1.38258,0.83706,0.77748,0.87445,0.6427,0.98758,0.80906,1.56042,0.000493794,0.000493794,0.000493794
18,4569.79,0.89975,1.35184,1.37693,0.85135,0.7724,0.86635,0.63167,0.99843,0.8337,1.54158,0.000489741,0.000489741,0.000489741
19,4825.96,0.88974,1.33827,1.37485,0.8671,0.76357,0.88922,0.67989,0.89366,0.78829,1.39686,0.000485468,0.000485468,0.000485468
20,5075.24,0.88234,1.28724,1.36466,0.9273,0.78221,0.89876,0.63203,1.08422,0.73001,1.66449,0.000480977,0.000480977,0.000480977
21,5324.27,0.86479,1.26324,1.34312,0.90885,0.80397,0.91162,0.66677,0.98959,0.71602,1.57854,0.000476274,0.000476274,0.000476274
22,5573.85,0.85602,1.24101,1.34541,0.88853,0.81364,0.90734,0.66398,0.98789,0.69331,1.51644,0.000471363,0.000471363,0.000471363
23,5822.96,0.83835,1.19054,1.33117,0.89557,0.83924,0.92645,0.63989,1.07324,0.68036,1.55586,0.000466249,0.000466249,0.000466249
24,6072.31,0.83975,1.20791,1.32425,0.93077,0.83231,0.92739,0.68475,0.9444,0.62104,1.47466,0.000460936,0.000460936,0.000460936
25,6321.16,0.83864,1.17785,1.33688,0.88085,0.87231,0.92289,0.64134,1.12884,0.65297,1.71481,0.000455432,0.000455432,0.000455432
26,6571.01,0.83484,1.17924,1.32169,0.89737,0.85217,0.92615,0.65963,1.03908,0.66417,1.64509,0.000449739,0.000449739,0.000449739
27,6820.13,0.81835,1.13985,1.31429,0.90986,0.87138,0.935,0.69525,0.94662,0.59836,1.48425,0.000443866,0.000443866,0.000443866
28,7069.34,0.82771,1.14812,1.31936,0.90147,0.86488,0.93116,0.65377,1.03882,0.63529,1.47841,0.000437816,0.000437816,0.000437816
29,7318.58,0.81809,1.12178,1.31472,0.92923,0.8651,0.94057,0.65198,1.07923,0.63377,1.61455,0.000431596,0.000431596,0.000431596
30,7567.48,0.8064,1.10723,1.30033,0.8818,0.86394,0.92672,0.69324,0.92327,0.59812,1.47175,0.000425213,0.000425213,0.000425213
31,7816.17,0.81579,1.10068,1.29913,0.92897,0.87698,0.94272,0.71957,0.88441,0.56662,1.38638,0.000418672,0.000418672,0.000418672
32,8065.17,0.78643,1.07407,1.28217,0.91006,0.88835,0.9487,0.71569,0.89381,0.55413,1.39456,0.00041198,0.00041198,0.00041198
33,8313.7,0.79712,1.06488,1.29814,0.92742,0.86329,0.94294,0.71053,0.92497,0.57401,1.44643,0.000405143,0.000405143,0.000405143
34,8562.86,0.78122,1.04004,1.28112,0.93964,0.8477,0.94007,0.68737,0.97019,0.57087,1.47662,0.000398169,0.000398169,0.000398169
35,8811.99,0.77878,1.02524,1.28032,0.93643,0.88658,0.95292,0.70405,0.95285,0.56099,1.45875,0.000391064,0.000391064,0.000391064
