epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2307,1.32647,4.07149,1.61149,0.19955,0.50542,0.25352,0.13836,1.5311,1.9608,1.81336,0.00017454,0.00017454,0.00017454
2,109.086,1.0513,2.10382,1.36736,0.29284,0.5275,0.34873,0.22436,1.16908,1.83193,1.42199,0.00034641,0.00034641,0.00034641
3,162.86,1.03672,1.88295,1.35197,0.31408,0.58338,0.40691,0.22445,1.46116,1.71407,1.76251,0.000514808,0.000514808,0.000514808
4,218.566,1.01194,1.7355,1.32396,0.50338,0.52803,0.53162,0.32472,1.36559,1.44403,1.54776,0.000510378,0.000510378,0.000510378
5,275.792,0.96489,1.58687,1.28614,0.46182,0.62446,0.59374,0.41101,1.03066,1.24725,1.31186,0.00050517,0.00050517,0.00050517
6,332.006,0.92143,1.50398,1.26242,0.56739,0.63007,0.6638,0.4547,1.11013,1.11332,1.33742,0.000499963,0.000499963,0.000499963
7,388.968,0.91366,1.3948,1.25665,0.66255,0.66811,0.73058,0.51237,1.06489,1.0335,1.31483,0.000494756,0.000494756,0.000494756
8,449.834,0.90607,1.34346,1.26126,0.74351,0.66618,0.77058,0.52155,1.14313,0.97096,1.38146,0.000489548,0.000489548,0.000489548
9,508.923,0.87929,1.28809,1.22709,0.82407,0.72129,0.84539,0.6289,0.95198,0.83589,1.24473,0.000484341,0.000484341,0.000484341
10,570.684,0.85646,1.23084,1.21255,0.79606,0.7699,0.83495,0.62643,0.89452,0.78794,1.16404,0.000479133,0.000479133,0.000479133
11,632.305,0.84422,1.17723,1.20236,0.83952,0.75998,0.85489,0.5844,1.14007,0.81698,1.37744,0.000473926,0.000473926,0.000473926
12,691.051,0.83126,1.15311,1.19388,0.84207,0.77547,0.86148,0.62544,0.99521,0.75994,1.24984,0.000468719,0.000468719,0.000468719
13,747.908,0.82096,1.10532,1.19571,0.88542,0.78797,0.88177,0.67209,0.87649,0.67853,1.16146,0.000463511,0.000463511,0.000463511
14,805.375,0.79603,1.06815,1.16909,0.89291,0.82351,0.90358,0.68101,0.89311,0.6546,1.1693,0.000458304,0.000458304,0.000458304
15,862.517,0.80244,1.04268,1.17621,0.86788,0.81991,0.90071,0.6661,0.9549,0.65962,1.2431,0.000453096,0.000453096,0.000453096
16,920.216,0.80081,1.06135,1.18024,0.91698,0.79699,0.90843,0.68712,0.90043,0.64036,1.17677,0.000447889,0.000447889,0.000447889
